Data,EOL,EOL_CAT,HID,HID_CAT,NUC,NUC_CAT,TER,TER_CAT,SIN-DM,SIN-DM_CAT,SIN-EA,SIN-EA_CAT,PLD,PLD_CAT,Preco,Preco_CAT,Preco_L,Preco_L_CAT
2014-08-31,0.08034249082585174,4,0.002661635527184576,3,0.0009801760384685102,2,0.03085202444529123,3,0.010218402385764953,4,-0.036342517662411554,0,-0.02559343439037115,1,0.0025491741532253386,2,0.0278226520849307,4
2014-09-30,0.042792288948752165,4,-0.01660651389662415,0,-0.01822087821903745,0,0.004858245629433683,2,-0.010735531517749862,0,-0.04421506761492725,0,-0.05380189104508014,1,-0.02017691729522333,2,0.028541425897607636,4
2014-10-31,0.03474875259094844,3,-0.015591049315397057,0,0.003390253668287805,2,0.0004359700852137748,2,-0.010314115107120355,0,-0.03511719170121928,0,-0.056861127216270534,1,-0.03614610650233291,1,0.02308755974364121,4
2014-11-30,0.061302343750861764,4,-0.005047604077294645,1,-0.00015648791250341695,2,-0.00018644186644188582,2,-0.0019134380759401814,1,-0.01823667524263217,1,-0.059274398553114976,1,-0.04521273100156216,1,0.011910872171840118,3
2014-12-31,0.06798109485946977,4,-0.004667458572917811,1,-0.024626779168083753,0,-0.0007588712302198466,2,-0.0027550921714363597,1,-0.0159204908194893,1,-0.033910155358634474,1,-0.0371341435357643,1,0.003972097318403772,2
2015-01-31,0.05083845298025889,4,-0.003687301351359963,1,0.004488376855588118,3,-0.002339055693255193,2,-0.0024815295417800146,1,-0.008477165233439343,1,-0.029963753702150386,1,-0.047334027693938976,1,-0.006206131217221002,1
2015-02-28,0.0672075065726923,4,-0.0012736351439411359,2,0.03881367049525197,4,-0.013732010821539643,1,-0.0028049355928633454,0,0.000550759732421006,2,-0.07218111590712183,0,-0.0732509443667203,0,-0.018254205498356216,0
2015-03-31,0.06755660803085033,4,-0.0008776237202059672,2,0.009974869725559915,3,-0.009907143165258704,1,-0.0012036805561975164,1,0.005971664120429225,2,-0.09047680050758537,0,-0.08309090582864084,0,-0.013429832777893997,1
2015-04-30,0.06553983843181961,4,0.01020939516846614,4,-0.03002224465767218,0,0.003925603754855129,2,0.009640224233209578,4,0.01885985336457826,3,-0.09949639863309198,0,-0.09383129894289005,0,-0.005501462037349236,1
2015-05-31,0.048726150499885434,4,0.0020890544754330487,2,-0.029327373418148672,0,-0.010614978867589886,1,-0.00043833280588952394,1,0.018031681481123607,3,-0.12082468283970127,0,-0.09973493867919284,0,-0.009141153805785495,1
2015-06-30,0.03227463932823003,3,-0.005687408754617453,1,-0.010615347903460704,1,-0.02466111818520481,1,-0.009415732055546558,0,0.01371958602223997,3,-0.12806033598403901,0,-0.08651389885193599,0,-0.01380496579174579,1
2015-07-31,0.021254026326740904,2,0.0022699700025243393,2,0.0014378900405100316,2,-0.021560370689673446,1,-0.0038303844233175933,0,0.03402591992994143,4,-0.11323899539603667,0,-0.08114470472503897,0,-0.020718098697118346,0
2015-08-31,0.018738592516323833,2,0.003424151476683922,3,0.011119899190305146,3,-0.028969522011518135,0,-0.0043817315640637755,0,0.054943966961530706,4,-0.10833489218119093,0,-0.09978774475941121,0,-0.030331024060250875,0
2015-09-30,0.03901824802000151,3,0.009367547639108591,4,0.012164207767816505,3,-0.03613575294930353,0,9.192324067222902e-05,1,0.06106888512446065,4,-0.12114418750405609,0,-0.1156866537084755,0,-0.040359945920864525,0
2015-10-31,0.048478338277770774,4,0.007683572740117012,3,0.0007261985662992708,2,-0.03499050608664364,0,0.01208294585933561,4,0.06796386913409866,4,-0.1341485226469614,0,-0.1265408612083458,0,-0.044679934072840155,0
2015-11-30,0.038522222663671814,3,-0.001896713895320782,2,0.0019353666196553199,2,-0.04286946301870646,0,0.0025338857326926167,3,0.04578787554358027,4,-0.14607389813889501,0,-0.1354382788321815,0,-0.04266952763139122,0
2015-12-31,0.033612430277858395,3,0.0004631662050402847,2,0.011079938668473704,3,-0.04702420782919774,0,-0.008966433921811224,0,0.024426056109718902,4,-0.16378718375900503,0,-0.14593203358198578,0,-0.04014418917828782,0
2016-01-31,0.06398624375434261,4,0.017669338664144715,4,0.010285365880863151,3,-0.024202994639782958,1,0.009615178414284217,4,0.036301901834191956,4,-0.14722101782506886,0,-0.11188151769942868,0,-0.031209353425436702,0
2016-02-29,0.04527007995681246,4,0.0063250781210713244,3,-0.003284769572867952,1,-0.02800943858610755,0,0.0007383207694768457,1,0.0188877497244948,3,-0.06866418413352812,0,-0.042451385010674,1,-0.015707725372283425,0
2016-03-31,0.02793391925109603,3,-0.0058774758134036206,1,0.005460597763875877,3,-0.03592401785460308,0,-0.010479096572318939,0,0.005403766735432547,2,-0.04258861719238132,1,-0.02647030511287802,1,-0.006520219892724462,1
2016-04-30,0.04718369263703504,4,-0.0007961029341752423,2,0.04148244166258949,4,-0.025366420361151904,1,-0.0029439311905836815,0,0.01237676842267739,3,-0.037278311887787276,1,-0.019250501089822306,2,-0.003906832229491235,1
2016-05-31,0.043313917731826405,4,-0.001237897429158451,2,0.00910917929098751,3,-0.021192111940665843,1,-0.0015772771677894485,1,0.008794359549497725,2,-0.021019642988609626,1,-0.00954465725656314,2,-0.0026016759459076178,1
