Data,HID,TER,CE_SECO,GE_SECO,DM_SECO,CI_SECO,EA_SECO,LPC_SECO,PIB
2022-05-01,200326.66,27163.62,37979.4175,30602.015,48112.805,83293.03,136199.5775,176.7725,771558.9
2022-06-01,189599.17,32552.38,37193.395,28639.6175,47554.615,83417.66,134898.38,173.04,782833.5
2022-07-01,229596.41,39958.36,38153.776,29062.95,48579.89599999999,83699.36,128379.706,167.816,722909.9
2022-08-01,171831.58000000002,31539.06,37716.655,29807.4825,47947.95,83809.38,117465.1675,162.235,754147.4
2022-09-01,176665.66999999998,31950.21,38485.555,31278.945,49000.715,84659.19,107074.36,156.0825,838868.0
2022-10-01,225234.68,36456.87,39315.00799999999,32005.566,49169.23,84910.22,102972.994,145.414,819727.6
2022-11-01,204036.86,27294.76,39356.915,36030.0575,48899.9075,85089.72,97373.94750000001,140.7375,826052.1
2022-12-01,257421.39,25477.07,38400.274,34587.544,47474.748,85863.14,104117.938,133.594,826025.7
2023-01-01,225843.46,17642.71,40888.995,35963.0225,49715.03,86189.55,136737.19,116.465,852909.9
2023-02-01,230684.65,15494.81,42546.8725,36653.8275,52287.2775,86354.02,154301.2825,103.205,854004.1
2023-03-01,241861.87,16668.65,42981.7,38891.27499999999,51768.235,86488.31,167331.265,99.1625,836785.8
2023-04-01,270836.12,27910.26,39628.66,37028.886,50358.142,86800.6,175213.014,91.066,856721.3
2023-05-01,194624.38,26426.56,39778.9325,36033.4575,49121.12,97195.27,176353.815,85.695,859855.2
2023-06-01,172284.44,32750.11,38439.6475,35106.9,48162.3075,98098.43,176909.6225,87.97749999999999,867549.3
2023-07-01,209536.08,37681.05,38678.98,32515.276,48625.554,98361.77,173823.864,87.852,803703.6
2023-08-01,178989.53,30591.82,40700.6525,35838.7725,50025.93,99116.16,165083.8325,87.315,824873.5
2023-09-01,238025.52,36543.44,43631.418,37296.604,54073.04599999999,99466.82,152270.94,94.074,927954.2
